Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
26,350000,1500000,17,6750000,3250000,5,0,1,0
40,670000,1200000,17,9850000,2850000,1,1,1,0
47,560000,15000000,23,15000000,8000000,5,1,0,0
35,450000,2100000,17,7500000,3000000,10,0,1,0
28,580000,3000000,17,9600000,3600000,5,1,1,0
22,300000,2000000,23,6900000,3400000,10,1,1,0
40,300000,2000000,23,6000000,2500000,5,1,1,0
36,410000,3000000,23,7700000,2700000,10,1,1,0
34,260000,2000000,11,4800000,2800000,10,1,1,0
42,390000,3000000,11,4600000,1600000,5,1,1,0
31,490000,3000000,17,10430000,5430000,5,1,1,0
22,400000,2500000,17,7300000,3300000,0,0,1,0
47,410000,4500000,23,8300000,3300000,10,2,1,0
40,1520000,2190000,23,38000000,18000000,0,1,0,0
32,390000,2000000,11,7000000,4000000,5,1,1,0
49,330000,2000000,23,6300000,2300000,0,1,1,0
48,950000,10000000,17,16000000,6000000,5,1,1,0
37,350000,1820000,17,5000000,1500000,0,1,1,0
52,560000,3000000,23,23000000,16000000,10,1,0,0
33,1200000,3000000,5,15100000,10100000,10,1,1,0
43,260000,1500000,11,4500000,2500000,5,1,1,0
28,560000,2000000,23,12300000,5300000,5,1,1,0
18,390000,2300000,11,5000000,2000000,1,0,1,0
18,400000,3000000,17,10000000,6000000,5,0,1,0
43,1070000,4500000,11,14000000,5500000,10,1,1,0
27,410000,2500000,23,9500000,4500000,1,1,1,0
43,580000,1500000,11,7000000,2500000,10,1,1,0
19,260000,1500000,11,3900000,1900000,1,0,1,0
58,350000,2000000,17,7000000,3500000,8,1,1,0
28,1260000,6000000,11,50000000,40000000,10,1,0,0
44,1670000,7000000,5,18000000,11000000,9,1,0,0
49,920000,3000000,23,20000000,8000000,0,1,1,0
28,490000,2100000,17,8200000,3200000,0,0,1,0
54,580000,3000000,11,8300000,3800000,5,1,1,0
25,1260000,1750000,11,25000000,15000000,1,0,0,0
25,390000,1500000,11,5000000,2000000,10,0,1,0
44,2460000,6000000,11,70000000,50000000,10,1,0,2
26,260000,2000000,11,3700000,1700000,10,0,1,0
32,330000,2500000,23,7000000,3000000,5,0,1,0
45,400000,1500000,17,6500000,2500000,1,1,1,0
57,330000,2362000,23,13500000,9500000,5,1,1,0
50,790000,4500000,23,16500000,6500000,5,1,1,0
59,580000,4500000,11,7700000,3200000,10,1,1,0
37,530000,5000000,17,12700000,7200000,5,1,1,0
